mz,PS-001_pos.mzML,PS-002_pos.mzML,PS-003_pos.mzML,PS-004_pos.mzML,PS-005_pos.mzML,PS-006_pos.mzML,mzTrim,control_mean,treatment_mean
1006.65628990368,232470.8,176207.3,355110.5,269131.7,420645.1,393660.8,1006.6562,254596,361145
550.9190676653842,55513130.0,146539000.0,163006700.0,75666180.0,125006200.0,109056900.0,550.919,121686277,103243093
411.2629657470173,23364170.0,19917060.0,22179820.0,19552390.0,18924010.0,16512320.0,411.2629,21820350,18329573
383.11585893921807,2573160.0,1875851.0,1150570.0,1330689.0,193335.5,581987.2,383.1158,1866527,702003
794.591434117987,2183201.0,1787168.0,2499108.0,2411058.0,2991900.0,2472608.0,794.5914,2156492,2625188
691.1845087096958,235820900.0,324941500.0,690496600.0,255518000.0,334402900.0,311994400.0,691.1845,417086333,300638433
792.5522051387237,650760.6,570898.2,717615.3,8848040.0,1481271.0,963118.0,792.5522,646425,3764143
764.5205511102564,42608530.0,39494220.0,51048200.0,25740450.0,42951200.0,38819340.0,764.5205,44383650,35836996
240.1716812746117,81784920.0,64855570.0,71617920.0,57252500.0,50854360.0,40352440.0,240.1716,72752803,49486433
528.2000213812113,28609350.0,39625460.0,127922800.0,37544460.0,64657850.0,39689310.0,528.2,65385870,47297206
479.336976600015,153875300.0,51264800.0,144900300.0,138394400.0,126444300.0,127318900.0,479.3369,116680133,130719200
157.14445883994185,49551040.0,44934950.0,46731410.0,46356410.0,45991400.0,45192370.0,157.1444,47072467,45846726
367.2364784733495,12528490.0,8580948.0,9175995.0,10002010.0,7829935.0,6795368.0,367.2364,10095144,8209104
151.09769821550154,3858348.0,21040280.0,608351.8,22958910.0,529182.7,24674000.0,151.0976,8502327,16054030
434.6902580951229,20927850.0,43471830.0,15058030.0,23497000.0,26829410.0,25569390.0,434.6902,26485903,25298600
812.5204909515954,3451562.0,3362404.0,2347042.0,2967765.0,2595282.0,4607715.0,812.5204,3053669,3390254
373.2418861516844,260209.3,254778.8,101887.6,116187.0,12573.7,115440.0,373.2418,205625,81400
114.066007806744,1063520000.0,789109400.0,1705924000.0,1330141000.0,1506931000.0,1268609000.0,114.066,1186184467,1368560333
309.14686691230423,15056900.0,6981736.0,17511150.0,13721960.0,16448690.0,9994553.0,309.1468,13183262,13388401
740.5218611326533,29559160.0,28179500.0,34483060.0,25912160.0,38603090.0,36694620.0,740.5218,30740573,33736623
781.5346585493799,169626.7,151564.0,202250.9,246407.8,457663.2,448240.4,781.5346,174481,384103
766.5586641991882,23485240.0,20715130.0,28533390.0,23317410.0,36208700.0,28007450.0,766.5586,24244587,29177853
361.1908811470578,414346.0,20194.93,1307717.0,171957.5,1546976.0,142758.4,361.1908,580753,620563
324.1942557204136,89748760.0,64568220.0,73705060.0,69010360.0,75414840.0,73459680.0,324.1942,76007347,72628293
469.3151073844758,26948780.0,21909730.0,18581240.0,20953350.0,13513920.0,16218810.0,469.3151,22479917,16895360
775.4873462089245,6014817.0,20588000.0,4071798.0,7896782.0,7631222.0,7340483.0,775.4873,10224872,7622829
255.22854517623145,13929710.0,10798440.0,12730300.0,12709980.0,12247200.0,10721410.0,255.2285,12486150,11892863
